Sample,Voltage,Problem
31,-209.67,Normal
32,-163.33,Normal
33,-112.02,Normal
34,-57.32,Normal
1,56.46,Normal
2,111.2,Normal
3,162.57,Normal
4,209,Normal
5,249.09,Normal
6,281.62,Normal
7,305.59,Normal
8,320.29,Normal
9,325.27,Normal
10,320.37,Normal
11,305.74,Normal
12,281.84,Normal
13,249.37,Normal
14,209.34,Normal
15,162.95,Normal
16,111.61,Normal
17,56.89,Normal
18,-56.03,Normal
19,-110.79,Normal
20,-162.19,Normal
21,-208.67,Normal
22,-248.81,Normal
23,-281.4,Normal
24,-305.45,Normal
25,-320.22,Normal
26,-325.27,Normal
27,-320.44,Normal
28,-305.89,Normal
29,-282.05,Normal
30,-249.65,Normal
31,-209.67,Normal
32,-163.33,Normal
33,-112.02,Normal
34,-57.32,Normal
1,56.46,Normal
2,111.2,Normal
3,162.57,Normal
4,209,Normal
5,249.09,Normal
6,281.62,Normal
7,305.59,Normal
8,320.29,Normal
9,325.27,Normal
10,320.37,Normal
11,305.74,Normal
12,281.84,Normal
13,249.37,Normal
14,209.34,Normal
15,162.95,Normal
16,111.61,Normal
17,56.89,Normal
18,-56.03,Normal
19,-110.79,Normal
20,-162.19,Normal
21,-208.67,Normal
22,-248.81,Normal
23,-281.4,Normal
24,-305.45,Normal
25,-320.22,Normal
26,-325.27,Normal
27,-320.44,Normal
28,-305.89,Normal
29,-282.05,Normal
30,-249.65,Normal
31,-209.67,Normal
32,-163.33,Normal
33,-112.02,Normal
34,-57.32,Normal
1,56.46,Normal
2,111.2,Normal
3,162.57,Normal
4,209,Normal
5,249.09,Normal
6,281.62,Normal
7,305.59,Normal
8,320.29,Normal
9,325.27,Normal
10,320.37,Normal
11,305.74,Normal
12,281.84,Normal
13,249.37,Normal
14,209.34,Normal
15,162.95,Normal
16,111.61,Normal
17,56.89,Normal
18,-56.03,Normal
19,-110.79,Normal
20,-162.19,Normal
21,-208.67,Normal
22,-248.81,Normal
23,-281.4,Normal
24,-305.45,Normal
25,-320.22,Normal
26,-325.27,Normal
27,-320.44,Normal
28,-305.89,Normal
29,-282.05,Normal
30,-249.65,Normal
31,-209.67,Normal
32,-163.33,Normal
33,-112.02,Normal
34,-57.32,Normal
1,56.46,Normal
2,111.2,Normal
3,162.57,Normal
4,209,Normal
5,249.09,Normal
6,281.62,Normal
7,305.59,Normal
8,320.29,Normal
9,325.27,Normal
10,320.37,Normal
11,305.74,Normal
12,281.84,Normal
13,249.37,Normal
14,209.34,Normal
15,162.95,Normal
16,111.61,Normal
17,56.89,Normal
18,-56.03,Normal
19,-110.79,Normal
20,-162.19,Normal
21,-208.67,Normal
22,-248.81,Normal
23,-281.4,Normal
24,-305.45,Normal
25,-320.22,Normal
26,-325.27,Normal
27,-320.44,Normal
28,-305.89,Normal
29,-282.05,Normal
30,-249.65,Normal
31,-209.67,Normal
32,-163.33,Normal
33,-112.02,Normal
34,-57.32,Normal
1,56.46,Normal
2,111.2,Normal
3,162.57,Normal
4,209,Normal
5,249.09,Normal
6,281.62,Normal
7,305.59,Normal
8,320.29,Normal
9,325.27,Normal
10,320.37,Normal
11,305.74,Normal
12,281.84,Normal
13,249.37,Normal
14,209.34,Normal
15,162.95,Normal
16,111.61,Normal
17,56.89,Normal
18,-56.03,Normal
19,-110.79,Normal
20,-162.19,Normal
21,-208.67,Normal
22,-248.81,Normal
23,-281.4,Normal
24,-305.45,Normal
25,-320.22,Normal
26,-325.27,Normal
27,-320.44,Normal
28,-305.89,Normal
29,-282.05,Normal
30,-249.65,Normal
31,-209.67,Normal
32,-163.33,Normal
33,-112.02,Normal
34,-57.32,Normal
1,56.46,Normal
2,111.2,Normal
3,162.57,Normal
4,209,Normal
5,249.09,Normal
6,281.62,Normal
7,305.59,Normal
8,320.29,Normal
9,325.27,Normal
10,320.37,Normal
11,305.74,Normal
12,281.84,Normal
13,249.37,Normal
14,209.34,Normal
15,162.95,Normal
16,111.61,Normal
17,56.89,Normal
18,-56.03,Normal
19,-110.79,Normal
20,-162.19,Normal
21,-208.67,Normal
22,-248.81,Normal
23,-281.4,Normal
24,-305.45,Normal
25,-320.22,Normal
26,-325.27,Normal
27,-320.44,Normal
28,-305.89,Normal
29,-282.05,Normal
30,-249.65,Normal
31,-209.67,Normal
32,-163.33,Normal
33,-112.02,Normal
34,-57.32,Normal
1,56.46,Normal
2,111.2,Normal
3,162.57,Normal
4,209,Normal
5,249.09,Normal
6,281.62,Normal
7,305.59,Normal
8,320.29,Normal
9,325.27,Normal
10,320.37,Normal
11,305.74,Normal
12,281.84,Normal
13,249.37,Normal
14,209.34,Normal
15,162.95,Normal
16,111.61,Normal
17,56.89,Normal
18,-56.03,Normal
19,-110.79,Normal
20,-162.19,Normal
21,-208.67,Normal
22,-248.81,Normal
23,-281.4,Normal
24,-305.45,Normal
25,-320.22,Normal
26,-325.27,Normal
27,-320.44,Normal
28,-305.89,Normal
29,-282.05,Normal
30,-249.65,Normal
31,-209.67,Normal
32,-163.33,Normal
33,-112.02,Normal
34,-57.32,Normal
1,50.81,Sag
2,100.08,Sag
3,146.31,Sag
4,188.1,Sag
5,224.18,Sag
6,253.45,Sag
7,275.03,Sag
8,288.26,Sag
9,292.74,Sag
10,288.33,Sag
11,275.17,Sag
12,253.65,Sag
13,224.43,Sag
14,188.4,Sag
15,146.65,Sag
16,100.45,Sag
17,51.2,Sag
18,-50.43,Sag
19,-99.71,Sag
20,-145.97,Sag
21,-187.8,Sag
22,-223.93,Sag
23,-253.26,Sag
24,-274.9,Sag
25,-288.19,Sag
26,-292.74,Sag
27,-288.4,Sag
28,-275.3,Sag
29,-253.85,Sag
30,-224.69,Sag
31,-188.7,Sag
32,-146.99,Sag
33,-100.82,Sag
34,-51.59,Sag
1,47.99,Sag
2,94.52,Sag
3,138.19,Sag
4,177.65,Sag
5,211.73,Sag
6,239.38,Sag
7,259.76,Sag
8,272.25,Sag
9,276.48,Sag
10,272.32,Sag
11,259.88,Sag
12,239.56,Sag
13,211.97,Sag
14,177.94,Sag
15,138.51,Sag
16,94.87,Sag
17,48.36,Sag
18,-47.62,Sag
19,-94.17,Sag
20,-137.87,Sag
21,-177.37,Sag
22,-211.49,Sag
23,-239.19,Sag
24,-259.63,Sag
25,-272.19,Sag
26,-276.48,Sag
27,-272.38,Sag
28,-260.01,Sag
29,-239.75,Sag
30,-212.21,Sag
31,-178.22,Sag
32,-138.83,Sag
33,-95.22,Sag
34,-48.72,Sag
1,45.17,Sag
2,88.96,Sag
3,130.06,Sag
4,167.21,Sag
5,199.28,Sag
6,225.3,Sag
7,244.48,Sag
8,256.24,Sag
9,260.22,Sag
10,256.3,Sag
11,244.6,Sag
12,225.47,Sag
13,199.5,Sag
14,167.47,Sag
15,130.36,Sag
16,89.29,Sag
17,45.51,Sag
18,-44.82,Sag
19,-88.64,Sag
20,-129.76,Sag
21,-166.94,Sag
22,-199.05,Sag
23,-225.12,Sag
24,-244.36,Sag
25,-256.18,Sag
26,-260.22,Sag
27,-256.36,Sag
28,-244.72,Sag
29,-225.65,Sag
30,-199.73,Sag
31,-167.74,Sag
32,-130.66,Sag
33,-89.62,Sag
34,-45.86,Sag
1,42.35,Sag
2,83.41,Sag
3,121.93,Sag
4,156.76,Sag
5,186.83,Sag
6,211.22,Sag
7,229.2,Sag
8,240.23,Sag
9,243.96,Sag
10,240.29,Sag
11,229.32,Sag
12,211.38,Sag
13,187.04,Sag
14,157.01,Sag
15,122.22,Sag
16,83.71,Sag
17,42.67,Sag
18,-42.02,Sag
19,-83.1,Sag
20,-121.65,Sag
21,-156.51,Sag
22,-186.62,Sag
23,-211.06,Sag
24,-229.09,Sag
25,-240.17,Sag
26,-243.96,Sag
27,-240.34,Sag
28,-229.43,Sag
29,-211.55,Sag
30,-187.25,Sag
31,-157.26,Sag
32,-122.5,Sag
33,-84.02,Sag
34,-42.99,Sag
1,39.57,Sag
2,77.93,Sag
3,113.94,Sag
4,146.48,Sag
5,174.57,Sag
6,197.37,Sag
7,214.17,Sag
8,224.47,Sag
9,227.96,Sag
10,224.53,Sag
11,214.28,Sag
12,197.52,Sag
13,174.77,Sag
14,146.71,Sag
15,114.2,Sag
16,78.22,Sag
17,39.87,Sag
18,-39.27,Sag
19,-77.65,Sag
20,-113.67,Sag
21,-146.24,Sag
22,-174.38,Sag
23,-197.21,Sag
24,-214.07,Sag
25,-224.42,Sag
26,-227.96,Sag
27,-224.58,Sag
28,-214.38,Sag
29,-197.67,Sag
30,-174.97,Sag
31,-146.95,Sag
32,-114.47,Sag
33,-78.51,Sag
34,-40.17,Sag
1,36.7,Sag
2,72.28,Sag
3,105.67,Sag
4,135.85,Sag
5,161.91,Sag
6,183.05,Sag
7,198.63,Sag
8,208.19,Sag
9,211.42,Sag
10,208.24,Sag
11,198.73,Sag
12,183.19,Sag
13,162.09,Sag
14,136.07,Sag
15,105.91,Sag
16,72.55,Sag
17,36.98,Sag
18,-36.42,Sag
19,-72.01,Sag
20,-105.42,Sag
21,-135.63,Sag
22,-161.72,Sag
23,-182.91,Sag
24,-198.53,Sag
25,-208.14,Sag
26,-211.42,Sag
27,-208.28,Sag
28,-198.83,Sag
29,-183.33,Sag
30,-162.27,Sag
31,-136.28,Sag
32,-106.16,Sag
33,-72.81,Sag
34,-37.26,Sag
1,33.87,Sag
2,66.72,Sag
3,97.54,Sag
4,125.4,Sag
5,149.45,Sag
6,168.97,Sag
7,183.36,Sag
8,192.17,Sag
9,195.16,Sag
10,192.22,Sag
11,183.45,Sag
12,169.1,Sag
13,149.62,Sag
14,125.6,Sag
15,97.77,Sag
16,66.97,Sag
17,34.13,Sag
18,-33.62,Sag
19,-66.48,Sag
20,-97.32,Sag
21,-125.2,Sag
22,-149.29,Sag
23,-168.84,Sag
24,-183.27,Sag
25,-192.13,Sag
26,-195.16,Sag
27,-192.27,Sag
28,-183.53,Sag
29,-169.23,Sag
30,-149.79,Sag
31,-125.8,Sag
32,-98,Sag
33,-67.21,Sag
34,-34.39,Sag
1,31.05,Sag
2,61.16,Sag
3,89.42,Sag
4,114.95,Sag
5,137,Sag
6,154.89,Sag
7,168.08,Sag
8,176.16,Sag
9,178.9,Sag
10,176.21,Sag
11,168.16,Sag
12,155.01,Sag
13,137.16,Sag
14,115.14,Sag
15,89.62,Sag
16,61.39,Sag
17,31.29,Sag
18,-30.82,Sag
19,-60.94,Sag
20,-89.21,Sag
21,-114.77,Sag
22,-136.85,Sag
23,-154.77,Sag
24,-168,Sag
25,-176.12,Sag
26,-178.9,Sag
27,-176.25,Sag
28,-168.24,Sag
29,-155.13,Sag
30,-137.31,Sag
31,-115.32,Sag
32,-89.83,Sag
33,-61.61,Sag
34,-31.53,Sag
1,28.23,Sag
2,55.6,Sag
3,81.28,Sag
4,104.5,Sag
5,124.54,Sag
6,140.81,Sag
7,152.79,Sag
8,160.14,Sag
9,162.63,Sag
10,160.18,Sag
11,152.87,Sag
12,140.91,Sag
13,124.68,Sag
14,104.67,Sag
15,81.47,Sag
16,55.8,Sag
17,28.44,Sag
18,-28.01,Sag
19,-55.39,Sag
20,-81.09,Sag
21,-104.33,Sag
22,-124.4,Sag
23,-140.7,Sag
24,-152.72,Sag
25,-160.1,Sag
26,-162.63,Sag
27,-160.22,Sag
28,-152.94,Sag
29,-141.02,Sag
30,-124.82,Sag
31,-104.83,Sag
32,-81.66,Sag
33,-56.01,Sag
34,-28.66,Sag
1,25.41,Sag
2,50.04,Sag
3,73.16,Sag
4,94.05,Sag
5,112.09,Sag
6,126.73,Sag
7,137.52,Sag
8,144.13,Sag
9,146.37,Sag
10,144.17,Sag
11,137.58,Sag
12,126.83,Sag
13,112.22,Sag
14,94.2,Sag
15,73.33,Sag
16,50.23,Sag
17,25.6,Sag
18,-25.21,Sag
19,-49.86,Sag
20,-72.99,Sag
21,-93.9,Sag
22,-111.96,Sag
23,-126.63,Sag
24,-137.45,Sag
25,-144.1,Sag
26,-146.37,Sag
27,-144.2,Sag
28,-137.65,Sag
29,-126.92,Sag
30,-112.34,Sag
31,-94.35,Sag
32,-73.5,Sag
33,-50.41,Sag
34,-25.79,Sag
1,22.58,Sag
2,44.48,Sag
3,65.03,Sag
4,83.6,Sag
5,99.64,Sag
6,112.65,Sag
7,122.24,Sag
8,128.12,Sag
9,130.11,Sag
10,128.15,Sag
11,122.3,Sag
12,112.74,Sag
13,99.75,Sag
14,83.74,Sag
15,65.18,Sag
16,44.65,Sag
17,22.76,Sag
18,-22.41,Sag
19,-44.32,Sag
20,-64.88,Sag
21,-83.47,Sag
22,-99.53,Sag
23,-112.56,Sag
24,-122.18,Sag
25,-128.09,Sag
26,-130.11,Sag
27,-128.18,Sag
28,-122.36,Sag
29,-112.82,Sag
30,-99.86,Sag
31,-83.87,Sag
32,-65.33,Sag
33,-44.81,Sag
34,-22.93,Sag
1,19.76,Sag
2,38.92,Sag
3,56.9,Sag
4,73.15,Sag
5,87.18,Sag
6,98.56,Sag
7,106.95,Sag
8,112.1,Sag
9,113.84,Sag
10,112.13,Sag
11,107.01,Sag
12,98.64,Sag
13,87.28,Sag
14,73.27,Sag
15,57.03,Sag
16,39.06,Sag
17,19.91,Sag
18,-19.61,Sag
19,-38.78,Sag
20,-56.77,Sag
21,-73.03,Sag
22,-87.08,Sag
23,-98.49,Sag
24,-106.9,Sag
25,-112.07,Sag
26,-113.84,Sag
27,-112.15,Sag
28,-107.06,Sag
29,-98.72,Sag
30,-87.38,Sag
31,-73.38,Sag
32,-57.16,Sag
33,-39.21,Sag
34,-20.06,Sag
1,16.94,Sag
2,33.36,Sag
3,48.77,Sag
4,62.7,Sag
5,74.73,Sag
6,84.48,Sag
7,91.68,Sag
8,96.09,Sag
9,97.58,Sag
10,96.11,Sag
11,91.72,Sag
12,84.55,Sag
13,74.81,Sag
14,62.8,Sag
15,48.88,Sag
16,33.48,Sag
17,17.07,Sag
18,-16.81,Sag
19,-33.24,Sag
20,-48.66,Sag
21,-62.6,Sag
22,-74.64,Sag
23,-84.42,Sag
24,-91.63,Sag
25,-96.06,Sag
26,-97.58,Sag
27,-96.13,Sag
28,-91.77,Sag
29,-84.62,Sag
30,-74.9,Sag
31,-62.9,Sag
32,-49,Sag
33,-33.61,Sag
34,-17.2,Sag
1,14.12,Sag
2,27.8,Sag
3,40.64,Sag
4,52.25,Sag
5,62.28,Sag
6,70.41,Sag
7,76.4,Sag
8,80.08,Sag
9,81.32,Sag
10,80.1,Sag
11,76.44,Sag
12,70.46,Sag
13,62.35,Sag
14,52.34,Sag
15,40.74,Sag
16,27.9,Sag
17,14.22,Sag
18,-14.01,Sag
19,-27.7,Sag
20,-40.55,Sag
21,-52.17,Sag
22,-62.21,Sag
23,-70.35,Sag
24,-76.36,Sag
25,-80.06,Sag
26,-81.32,Sag
27,-80.11,Sag
28,-76.48,Sag
29,-70.52,Sag
30,-62.42,Sag
31,-52.42,Sag
32,-40.83,Sag
33,-28.01,Sag
34,-14.33,Sag
1,11.29,Sag
2,22.24,Sag
3,32.51,Sag
4,41.8,Sag
5,49.82,Sag
6,56.32,Sag
7,61.12,Sag
8,64.05,Sag
9,65.05,Sag
10,64.07,Sag
11,61.15,Sag
12,56.36,Sag
13,49.87,Sag
14,41.87,Sag
15,32.59,Sag
16,22.32,Sag
17,11.38,Sag
18,-11.21,Sag
19,-22.16,Sag
20,-32.44,Sag
21,-41.73,Sag
22,-49.76,Sag
23,-56.28,Sag
24,-61.09,Sag
25,-64.04,Sag
26,-65.05,Sag
27,-64.09,Sag
28,-61.17,Sag
29,-56.41,Sag
30,-49.93,Sag
31,-41.93,Sag
32,-32.66,Sag
33,-22.4,Sag
34,-11.46,Sag
1,8.47,Sag
2,16.68,Sag
3,24.39,Sag
4,31.35,Sag
5,37.36,Sag
6,42.24,Sag
7,45.84,Sag
8,48.04,Sag
9,48.79,Sag
10,48.06,Sag
11,45.86,Sag
12,42.28,Sag
13,37.41,Sag
14,31.4,Sag
15,24.44,Sag
16,16.74,Sag
17,8.53,Sag
18,-8.4,Sag
19,-16.62,Sag
20,-24.33,Sag
21,-31.3,Sag
22,-37.32,Sag
23,-42.21,Sag
24,-45.82,Sag
25,-48.03,Sag
26,-48.79,Sag
27,-48.07,Sag
28,-45.88,Sag
29,-42.31,Sag
30,-37.45,Sag
31,-31.45,Sag
32,-24.5,Sag
33,-16.8,Sag
34,-8.6,Sag
1,5.65,Sag
2,11.12,Sag
3,16.26,Sag
4,20.9,Sag
5,24.91,Sag
6,28.16,Sag
7,30.56,Sag
8,32.03,Sag
9,32.53,Sag
10,32.04,Sag
11,30.58,Sag
12,28.19,Sag
13,24.94,Sag
14,20.94,Sag
15,16.3,Sag
16,11.16,Sag
17,5.69,Sag
18,-5.6,Sag
19,-11.08,Sag
20,-16.22,Sag
21,-20.87,Sag
22,-24.88,Sag
23,-28.14,Sag
24,-30.55,Sag
25,-32.02,Sag
26,-32.53,Sag
27,-32.05,Sag
28,-30.59,Sag
29,-28.21,Sag
30,-24.97,Sag
31,-20.97,Sag
32,-16.33,Sag
33,-11.2,Sag
34,-5.73,Sag
1,62.11,Swell
2,122.32,Swell
3,178.83,Swell
4,229.91,Swell
5,274,Swell
6,309.78,Swell
7,336.16,Swell
8,352.33,Swell
9,357.8,Swell
10,352.41,Swell
11,336.32,Swell
12,310.02,Swell
13,274.31,Swell
14,230.28,Swell
15,179.25,Swell
16,122.78,Swell
17,62.58,Swell
18,-61.63,Swell
19,-121.87,Swell
20,-178.41,Swell
21,-229.54,Swell
22,-273.7,Swell
23,-309.54,Swell
24,-335.99,Swell
25,-352.24,Swell
26,-357.8,Swell
27,-352.49,Swell
28,-336.49,Swell
29,-310.26,Swell
30,-274.62,Swell
31,-230.64,Swell
32,-179.66,Swell
33,-123.23,Swell
34,-63.05,Swell
1,63.52,Swell
2,125.1,Swell
3,182.89,Swell
4,235.13,Swell
5,280.23,Swell
6,316.82,Swell
7,343.8,Swell
8,360.33,Swell
9,365.93,Swell
10,360.42,Swell
11,343.96,Swell
12,317.07,Swell
13,280.55,Swell
14,235.51,Swell
15,183.32,Swell
16,125.57,Swell
17,64,Swell
18,-63.03,Swell
19,-124.64,Swell
20,-182.47,Swell
21,-234.76,Swell
22,-279.92,Swell
23,-316.58,Swell
24,-343.63,Swell
25,-360.25,Swell
26,-365.93,Swell
27,-360.5,Swell
28,-344.13,Swell
29,-317.31,Swell
30,-280.86,Swell
31,-235.88,Swell
32,-183.74,Swell
33,-126.03,Swell
34,-64.48,Swell
1,64.93,Swell
2,127.9,Swell
3,186.98,Swell
4,240.38,Swell
5,286.49,Swell
6,323.9,Swell
7,351.47,Swell
8,368.38,Swell
9,374.1,Swell
10,368.46,Swell
11,351.64,Swell
12,324.15,Swell
13,286.81,Swell
14,240.77,Swell
15,187.41,Swell
16,128.37,Swell
17,65.43,Swell
18,-64.44,Swell
19,-127.43,Swell
20,-186.54,Swell
21,-240,Swell
22,-286.16,Swell
23,-323.65,Swell
24,-351.3,Swell
25,-368.29,Swell
26,-374.1,Swell
27,-368.55,Swell
28,-351.81,Swell
29,-324.4,Swell
30,-287.13,Swell
31,-241.15,Swell
32,-187.85,Swell
33,-128.84,Swell
34,-65.92,Swell
1,66.34,Swell
2,130.66,Swell
3,191.02,Swell
4,245.57,Swell
5,292.68,Swell
6,330.89,Swell
7,359.06,Swell
8,376.33,Swell
9,382.18,Swell
10,376.42,Swell
11,359.24,Swell
12,331.15,Swell
13,293,Swell
14,245.97,Swell
15,191.46,Swell
16,131.14,Swell
17,66.84,Swell
18,-65.83,Swell
19,-130.18,Swell
20,-190.57,Swell
21,-245.18,Swell
22,-292.35,Swell
23,-330.64,Swell
24,-358.89,Swell
25,-376.24,Swell
26,-382.18,Swell
27,-376.51,Swell
28,-359.41,Swell
29,-331.4,Swell
30,-293.33,Swell
31,-246.36,Swell
32,-191.9,Swell
33,-131.62,Swell
34,-67.35,Swell
1,67.75,Swell
2,133.44,Swell
3,195.07,Swell
4,250.79,Swell
5,298.89,Swell
6,337.92,Swell
7,366.69,Swell
8,384.33,Swell
9,390.3,Swell
10,384.42,Swell
11,366.87,Swell
12,338.18,Swell
13,299.23,Swell
14,251.19,Swell
15,195.53,Swell
16,133.93,Swell
17,68.26,Swell
18,-67.23,Swell
19,-132.94,Swell
20,-194.62,Swell
21,-250.39,Swell
22,-298.56,Swell
23,-337.66,Swell
24,-366.51,Swell
25,-384.24,Swell
26,-390.3,Swell
27,-384.51,Swell
28,-367.05,Swell
29,-338.45,Swell
30,-299.57,Swell
31,-251.59,Swell
32,-195.98,Swell
33,-134.42,Swell
34,-68.78,Swell
1,70.57,Swell
2,139.01,Swell
3,203.22,Swell
4,261.26,Swell
5,311.37,Swell
6,352.03,Swell
7,382,Swell
8,400.37,Swell
9,406.59,Swell
10,400.47,Swell
11,382.18,Swell
12,352.3,Swell
13,311.72,Swell
14,261.68,Swell
15,203.69,Swell
16,139.52,Swell
17,71.11,Swell
18,-70.04,Swell
19,-138.49,Swell
20,-202.74,Swell
21,-260.84,Swell
22,-311.02,Swell
23,-351.75,Swell
24,-381.81,Swell
25,-400.28,Swell
26,-406.59,Swell
27,-400.56,Swell
28,-382.37,Swell
29,-352.57,Swell
30,-312.07,Swell
31,-262.09,Swell
32,-204.16,Swell
33,-140.03,Swell
34,-71.65,Swell
1,73.4,Swell
2,144.56,Swell
3,211.34,Swell
4,271.71,Swell
5,323.82,Swell
6,366.1,Swell
7,397.27,Swell
8,416.38,Swell
